Food Item,Category,Calories
1pcs Lay's Classic,Vegetarian,150
1pcs Kurkure,Vegetarian,200
1pcs Maggi Noodles,Vegetarian,320
1pcs Bingo!,Vegetarian,150
1pcs Perk,Vegetarian,200
1pcs KitKat,Vegetarian,230
1pcs Munch,Vegetarian,180
1pcs Lassi,Vegetarian,150
1pcs Fruity,Vegetarian,200
1pcs Sprite,Vegetarian,140
1pcs Coke,Vegetarian,150
1pcs Thumbs Up,Vegetarian,150
1pcs Red Bull,Vegetarian,110
1pcs Appy Fizz,Vegetarian,180
1pcs Mountain Dew,Vegetarian,140
1pcs Fanta,Vegetarian,160
1pcs Pepsi,Vegetarian,150
1pcs Boost,Vegetarian,220
1pcs Complan,Vegetarian,200
1pcs Yippee! Noodles,Vegetarian,300
1pcs Oreo,Vegetarian,230
1pcs Haldiram's Bhujia,Vegetarian,280
1pcs Kurkure Tikkito,Vegetarian,250
1pcs Uncle Chips,Vegetarian,240
1pcs Maggi Sauce,Vegetarian,70
1pcs Cadbury Dairy Milk,Vegetarian,230
1pcs Alpenliebe,Vegetarian,140
1pcs Perk Shake,Vegetarian,250
1pcs 5-Star,Vegetarian,220
1pcs Cadbury Silk,Vegetarian,250
1pcs Colgate,Vegetarian,50
1pcs Parle-G,Vegetarian,100
1pcs Nestlé Munch,Vegetarian,180
1pcs Lotte Choco Pie,Vegetarian,150
1pcs Sunfeast,Vegetarian,150
1pcs Nestlé KitKat,Vegetarian,230
1pcs Toblerone,Vegetarian,280
1pcs Poppins,Vegetarian,200
1pcs Nestlé Maggi,Vegetarian,320
1pcs Nutella,Vegetarian,280
1pcs Little Debbie Swiss Roll,Vegetarian,150
1pcs Lay's Maxx,Vegetarian,200
1pcs Bingo Mad Angles,Vegetarian,250
1pcs Appy,Vegetarian,150
1pcs Bru Instant Coffee,Vegetarian,40
1pcs Kellogg’s Corn Flakes,Vegetarian,150
1pcs Kellogg’s Rice Krispies,Vegetarian,140
1pcs Kellogg’s Special K,Vegetarian,180
1pcs Cadbury Chocobakes,Vegetarian,200
1pcs Lotte Milkita,Vegetarian,130
1pcs Parle-G,Vegetarian,100
1pcs Fritters,Vegetarian,180
1pcs Double Decker,Vegetarian,240
1pcs Perk Wafers,Vegetarian,220
1pcs Bounty,Vegetarian,250
1pcs Munch Nuts,Vegetarian,230
1pcs Maggi Superfood Bowl,Vegetarian,300
1pcs Munch Cookie,Vegetarian,180
1pcs Kurkure Popcorn,Vegetarian,200
1pcs Sunfeast Yippee! Noodles,Vegetarian,310
1pcs Lotte White,Vegetarian,180
1pcs Munch,Vegetarian,180
1pcs Oreo Shake,Vegetarian,250
1pcs KitKat Chunky,Vegetarian,260
1pcs Perk Pop,Vegetarian,150
1pcs Lays Wavy,Vegetarian,210
1pcs Lay’s Maxx Hot and Spicy,Vegetarian,200
1pcs Chikki,Vegetarian,150
1pcs M&M's,Vegetarian,230
1pcs Lotte Crunky,Vegetarian,170
1pcs Fruity,Vegetarian,200
1pcs Oreo Pouch,Vegetarian,180
1pcs Ferrero Rocher,Vegetarian,250
1pcs Little Debbie Swiss Roll,Vegetarian,150
1pcs Lotte Candyman Jelly,Vegetarian,200
1pcs Perk Wafers,Vegetarian,220
1pcs Parle G Biscuits,Vegetarian,100
1pcs Milk Bikis,Vegetarian,150
1pcs Haldiram's Gulab Jamun,Vegetarian,140
1pcs Samosa,Vegetarian,150
1pcs Kurkure Stick,Vegetarian,250
1pcs Lay’s Maxx,Vegetarian,200
1pcs Bingo Tango,Vegetarian,200
1pcs Maggi Hot Heads,Vegetarian,280
1pcs Alpenliebe Hard Candy,Vegetarian,140
1pcs Cadbury Bournville,Vegetarian,230
1pcs Milkybar,Vegetarian,180
1pcs Nestlé KitKat Chunky,Vegetarian,260
1pcs Lay’s Classic,Vegetarian,150
1pcs Hershey’s Milk Chocolate,Vegetarian,230
1pcs Sunfeast Yippee! Hot and Spicy,Vegetarian,310
1pcs Kellogg’s Chocos,Vegetarian,150
1pcs Parle Monaco,Vegetarian,100
1pcs NutriChoice Digestive,Vegetarian,150
1pcs Oreo Twist,Vegetarian,180
1pcs Good Day,Vegetarian,150
1pcs KitKat Peanut Butter,Vegetarian,260
1pcs Munch Nutties,Vegetarian,180
1pcs Hershey’s Nuggets,Vegetarian,180
1pcs Bournvita,Vegetarian,220
1pcs Cadbury Fuse,Vegetarian,220
1pcs Perk Wafers,Vegetarian,220
1pcs Nestlé Munch,Vegetarian,180
1pcs Oreo Shake,Vegetarian,250
1pcs Alpenliebe Jelly,Vegetarian,140
1pcs Haldiram’s Rajbhog,Vegetarian,140
1pcs Yippee! Tomato,Vegetarian,250
1pcs Lay’s Potato Chips,Vegetarian,150
1pcs Cheetos,Vegetarian,180
1pcs Sunfeast Dark Fantasy Choco Fills,Vegetarian,300
1pcs Doritos,Vegetarian,200
1pcs KitKat Green Tea,Vegetarian,260
1pcs Kellogg's Choco Fills,Vegetarian,180
1pcs Lotte Cookie Shot,Vegetarian,150
1pcs Bounty,Vegetarian,250
1pcs Gits Rasgulla,Vegetarian,140
1pcs Pop-Tarts,Vegetarian,220
1pcs Lays Maxx,Vegetarian,200
1pcs Cheetos Cheese Puffs,Vegetarian,200
1pcs Maggi Munchies,Vegetarian,310
1pcs Alpenliebe Pops,Vegetarian,140
1pcs Munch Nuts,Vegetarian,230
1pcs Ferrero Rocher,Vegetarian,250
1pcs Perk Cream,Vegetarian,220
1pcs Nestlé KitKat Chunky,Vegetarian,260
1pcs Lay's Cream & Onion,Vegetarian,210
1pcs Haldiram's Mawa Kachori,Vegetarian,160
1pcs Munch Wafers,Vegetarian,220
1pcs Perk Pop,Vegetarian,150
1pcs Nestlé Yippee!,Vegetarian,310
1pcs Lotte Milkita,Vegetarian,130
1pcs Good Day Choco Fills,Vegetarian,200
1pcs Dairy Milk Silk,Vegetarian,250
1pcs Kurkure,Vegetarian,200
1pcs Appy,Vegetarian,150
1pcs Bingo!,Vegetarian,150
1pcs Maggi Noodles,Vegetarian,320
1pcs Lay's Maxx,Vegetarian,200
1pcs Doritos,Vegetarian,200
1pcs KitKat Green Tea,Vegetarian,260
1pcs Kellogg's Choco Fills,Vegetarian,180
1pcs Lotte Cookie Shot,Vegetarian,150
1pcs Bounty,Vegetarian,250
1pcs Gits Rasgulla,Vegetarian,140
1pcs Pop-Tarts,Vegetarian,220
1pcs Lays Maxx,Vegetarian,200
1pcs Cheetos Cheese Puffs,Vegetarian,200
1pcs Maggi Munchies,Vegetarian,310
1pcs Alpenliebe Pops,Vegetarian,140
1pcs Munch Nuts,Vegetarian,230
1pcs Ferrero Rocher,Vegetarian,250
1pcs Perk Cream,Vegetarian,220
1pcs Nestlé KitKat Chunky,Vegetarian,260
1pcs Lay's Cream & Onion,Vegetarian,210
1pcs Haldiram's Mawa Kachori,Vegetarian,160
1pcs Munch Wafers,Vegetarian,220
1pcs Perk Pop,Vegetarian,150
1pcs Nestlé Yippee!,Vegetarian,310
1pcs Lotte Milkita,Vegetarian,130
1pcs Good Day Choco Fills,Vegetarian,200
1pcs Dairy Milk Silk,Vegetarian,250
