Food Item,Category,Calories
1pcs Idly,Vegetarian,40
1pcs Dosa,Vegetarian,150
1pcs Vada,Vegetarian,200
1pcs Poori,Vegetarian,250
1pcs Uttapam,Vegetarian,180
1pcs Appam,Vegetarian,170
1pcs Puttu,Vegetarian,160
1pcs Malabar Parotta,Vegetarian,250
1pcs Pongal,Vegetarian,200
1pcs Sambar Rice,Vegetarian,300
1pcs Biryani,Non-Vegetarian,350
1pcs Chicken Curry,Non-Vegetarian,300
1pcs Mutton Curry,Non-Vegetarian,400
1pcs Fish Curry,Non-Vegetarian,250
1pcs Prawn Masala,Non-Vegetarian,450
1pcs Mutton Kuzhambu,Non-Vegetarian,370
1pcs Butter Chicken,Non-Vegetarian,350
1pcs Egg Curry,Non-Vegetarian,200
1pcs Beef Fry,Non-Vegetarian,300
1pcs Kerala Chicken Stew,Non-Vegetarian,280
1pcs Paneer Butter Masala,Vegetarian,250
1pcs Veg Biryani,Vegetarian,300
1pcs Chettinad Chicken,Non-Vegetarian,400
1pcs Mutton Biryani,Non-Vegetarian,450
1pcs Keralan Beef Curry,Non-Vegetarian,350
1pcs Chole Biryani,Vegetarian,300
1pcs Chicken Masala,Non-Vegetarian,350
1pcs Andhra Chicken Curry,Non-Vegetarian,380
1pcs Fish Fry,Non-Vegetarian,280
1pcs Vegetable Kurma,Vegetarian,220
1pcs Naan,Vegetarian,250
1pcs Chapati,Vegetarian,180
1pcs Prawn Biryani,Non-Vegetarian,420
1pcs Mutton Pepper Fry,Non-Vegetarian,400
1pcs Crab Curry,Non-Vegetarian,350
1pcs Mushroom Masala,Vegetarian,260
1pcs Keema Masala,Non-Vegetarian,350
1pcs Egg Biryani,Non-Vegetarian,300
1pcs Thali,Vegetarian,500
1pcs Chicken 65,Non-Vegetarian,350
1pcs Malai Kofta,Vegetarian,300
1pcs Tandoori Chicken,Non-Vegetarian,380
1pcs Roti,Vegetarian,160
1pcs Masala Dosa,Vegetarian,250
1pcs Noodles,Vegetarian,290
1pcs Veg Manchurian,Vegetarian,280
1pcs Chicken Tikka,Non-Vegetarian,350
1pcs Veg Fried Rice,Vegetarian,270
1pcs Prawn Curry,Non-Vegetarian,400
1pcs Mushroom Biryani,Vegetarian,310
1pcs Chettinad Mutton,Non-Vegetarian,420
1pcs Lamb Curry,Non-Vegetarian,380
1pcs Veg Soup,Vegetarian,180
1pcs Fish Pulimunchi,Non-Vegetarian,300
1pcs Chicken Saagwala,Non-Vegetarian,360
1pcs Ragi Dosa,Vegetarian,210
1pcs Beef Biryani,Non-Vegetarian,390
1pcs Vegetable Fried Rice,Vegetarian,280
1pcs Malabar Egg Roast,Non-Vegetarian,320
1pcs Prawn Masala,Non-Vegetarian,450
1pcs Chicken Lollipop,Non-Vegetarian,360
1pcs Pork Curry,Non-Vegetarian,420
1pcs Jeera Rice,Vegetarian,230
1pcs Mutton Rogan Josh,Non-Vegetarian,450
1pcs Veg Kurma,Vegetarian,240
1pcs Butter Naan,Vegetarian,270
1pcs Dum Biryani,Non-Vegetarian,400
1pcs Veg Sambar Rice,Vegetarian,280
1pcs Prawns Masala,Non-Vegetarian,420
1pcs Chicken Dum Biryani,Non-Vegetarian,430
1pcs Ghee Rice,Vegetarian,250
1pcs Chicken Malai Kebab,Non-Vegetarian,350
1pcs Kerala Parotta,Vegetarian,240
1pcs Drumstick Curry,Vegetarian,300
1pcs Fish Tikka,Non-Vegetarian,350
1pcs Dhokla,Vegetarian,200
1pcs Veg Pizza,Vegetarian,300
1pcs Mutton Seekh Kebab,Non-Vegetarian,380
1pcs Rava Idly,Vegetarian,150
1pcs Chicken Shawarma,Non-Vegetarian,320
1pcs Pork Biryani,Non-Vegetarian,410
1pcs Veg Hakka Noodles,Vegetarian,270
1pcs Goat Curry,Non-Vegetarian,370
1pcs Mutton Biryani,Non-Vegetarian,450
1pcs Prawn Biryani,Non-Vegetarian,420
1pcs Gobi Manchurian,Vegetarian,260
1pcs Mutton Korma,Non-Vegetarian,390
1pcs Egg Kothu Parotta,Non-Vegetarian,280
1pcs Hyderabadi Chicken Biryani,Non-Vegetarian,450
1pcs Fish Curry Rice,Non-Vegetarian,300
1pcs Veg Masala Dosa,Vegetarian,260
1pcs Keema Naan,Non-Vegetarian,300
1pcs Kerala Puttu,Vegetarian,180
1pcs Veg Pulao,Vegetarian,260
1pcs Chicken Fried Rice,Non-Vegetarian,270
1pcs Lamb Biryani,Non-Vegetarian,440
1pcs Chicken Shawarma Roll,Non-Vegetarian,350
1pcs Butter Paneer,Vegetarian,250
1pcs Fish Fry,Non-Vegetarian,280
1pcs Chicken Handi,Non-Vegetarian,350
1pcs Veg Roti,Vegetarian,160
1pcs Fish Curry Rice,Non-Vegetarian,300
1pcs Mutton Rogan Josh,Non-Vegetarian,450
1pcs Mushroom Noodles,Vegetarian,290
1pcs Veg Pulav,Vegetarian,250
1pcs Chicken Sukka,Non-Vegetarian,360
1pcs Beef Vindaloo,Non-Vegetarian,400
1pcs Ghee Roast,Vegetarian,230
1pcs Veg Hoppers,Vegetarian,210
